dataset,scope,air_var,alt,best_lag_min,pearson_r,N,p_value,decision,p_source,mean_diff,mean_voice,mean_silent
COMBINED,OCCWINDOW:VENT_OFF,HUM,greater,,,2197,0.0355308872209857,Reject H0,HAC,0.9682466597810446,67.97258662098612,67.00433996120508
COMBINED,OCCWINDOW:ALL,TEMP,greater,,,2973,0.6553677600323536,Fail to reject H0,HAC,-0.0459284508118784,24.771889845511517,24.81781829632339
COMBINED,OCCWINDOW:VENT_OFF,TEMP,greater,,,2197,0.5815059366465918,Fail to reject H0,HAC,-0.0276169205587244,24.73460617042178,24.762223090980505
COMBINED,OCCWINDOW:ALL,dCO2,greater,,,2874,0.4014839173185905,Fail to reject H0,HAC,0.3484567557158189,2.342875536480682,1.994418780764863
COMBINED,OCCWINDOW:VENT_OFF,dCO2,greater,,,2105,0.1979904433511464,Fail to reject H0,HAC,1.6793300484040188,14.00469879518071,12.325368746776691
COMBINED,OCCDAILY:ALL,CO2,greater,,,2746,0.1338109198480527,Fail to reject H0,HAC,71.58726072317359,1613.7012962962965,1542.1140355731227
COMBINED,OCCDAILY:VENT_OFF,CO2,greater,,,1909,0.0252320869927496,Reject H0,HAC,145.72087991915828,1682.2214765100673,1536.500596590909
COMBINED,OCCDAILY:ALL,PM1,greater,,,1653,0.3925096129657476,Fail to reject H0,HAC,0.7565860035070937,7.361788617886178,6.605202614379085
COMBINED,OCCDAILY:VENT_OFF,PM1,greater,,,1137,0.998695891052354,Fail to reject H0,HAC,-2.862591540404041,3.831111111111111,6.693702651515152
COMBINED,OCCDAILY:ALL,PM25,greater,,,1653,0.3648226077721453,Fail to reject H0,HAC,1.7763819544077766,12.860081300813006,11.08369934640523
COMBINED,OCCDAILY:VENT_OFF,PM25,greater,,,1137,0.9979371635214442,Fail to reject H0,HAC,-4.880224817620653,6.484197530864196,11.36442234848485
COMBINED,OCCDAILY:ALL,PM10,greater,,,1653,0.3603076432941652,Fail to reject H0,HAC,2.084365375418459,14.091463414634145,12.007098039215686
COMBINED,OCCDAILY:VENT_OFF,PM10,greater,,,1137,0.9978435957597496,Fail to reject H0,HAC,-5.473545173961839,6.858765432098767,12.332310606060606
COMBINED,OCCDAILY:ALL,HUM,greater,,,2795,0.0086280722117459,Reject H0,HAC,1.0610367644077172,67.3241244912762,66.26308772686848
COMBINED,OCCDAILY:VENT_OFF,HUM,greater,,,1949,0.0023465733962695,Reject H0,HAC,1.65360835667407,67.84649159676964,66.19288324009557
COMBINED,OCCDAILY:ALL,TEMP,greater,,,2795,0.9999975357525436,Fail to reject H0,HAC,-0.6038039241182034,24.7213604912651,25.325164415383306
COMBINED,OCCDAILY:VENT_OFF,TEMP,greater,,,1949,0.9998843194082098,Fail to reject H0,HAC,-0.5855114578268825,24.65689826198914,25.242409719816024
COMBINED,OCCDAILY:ALL,dCO2,greater,,,2697,0.3991867508656463,Fail to reject H0,HAC,0.3278181488285517,0.4997183098591488,0.171900161030597
COMBINED,OCCDAILY:VENT_OFF,dCO2,greater,,,1860,0.2912956927313614,Fail to reject H0,HAC,1.091503892201194,12.913219178082176,11.82171528588098
